INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
[50.000-75.000),M,,65+,Graduated High Scool,Retired,10+ years,No,One,,Own,House,Black,English
[30.000-40.000),F,Divorced,45-54,Grad Study,Clerical/Service Worker,10+ years,Not Married,One,,Rent,,White,English
[30.000-40.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Five,Three,Own,House,White,English
[40.000-50.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Three,,Rent,Other,White,English
[15.000-20.000),F,Married,25-34,1 to 3 years of college,Homemaker,1-3 years,No,Two,Two,Rent,Apartment,Black,English
[30.000-40.000),M,Divorced,25-34,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,One,,Rent,Apartment,White,English
[50.000-75.000),F,Married,45-54,Graduated High Scool,Homemaker,10+ years,No,Three,,Own,House,White,English
-10.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Three,,Rent,Other,White,English
[10.000-15.000),F,Divorced,45-54,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,White,English
[30.000-40.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,,Yes,Two,,Own,House,White,English
[20.000-25.000),F,Together,18-24,Graduated High Scool,Sales Worker,1-3 years,Not Married,Two,,Rent,House,White,English
[30.000-40.000),F,Married,35-44,Graduated High Scool,Homemaker,10+ years,No,Four,Two,Rent,Other,White,English
[10.000-15.000),F,Divorced,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,,Not Married,One,,Rent,Apartment,White,English
[75.000-,F,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Four,,Own,House,White,English
[40.000-50.000),M,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Three,One,Own,Condominium,White,English
[75.000-,F,Married,35-44,Grad Study,Professional/Managerial,4-6 years,Yes,Two,,Own,House,White,English
[10.000-15.000),M,Single,25-34,College graduate,"Student, HS or College",10+ years,Not Married,One,,Rent,Apartment,White,English
[40.000-50.000),F,Married,25-34,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Rent,House,White,English
[15.000-20.000),M,Single,35-44,College graduate,Professional/Managerial,10+ years,Not Married,One,,Own,House,Black,English
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,Two,Family,House,White,English
[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Five,Two,Own,House,White,English
[50.000-75.000),M,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[75.000-,F,Married,35-44,1 to 3 years of college,Professional/Managerial,4-6 years,Yes,Two,,Own,House,White,English
[10.000-15.000),F,Married,45-54,College graduate,Clerical/Service Worker,7-10 years,Yes,Two,,Rent,Condominium,White,English
[25.000-30.000),F,Married,18-24,1 to 3 years of college,Professional/Managerial,4-6 years,Yes,,,Rent,Apartment,White,English
[40.000-50.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,,Not Married,Five,Two,Rent,,Hispanic,English
[10.000-15.000),F,Single,55-64,Grad Study,Retired,10+ years,Not Married,One,,Rent,Apartment,White,English
[25.000-30.000),M,Divorced,18-24,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,One,,Family,House,White,English
[20.000-25.000),M,Widowed,65+,College graduate,Retired,7-10 years,Not Married,One,,Rent,Apartment,White,English
[75.000-,M,Single,25-34,College graduate,Professional/Managerial,1-3 years,Not Married,Three,,Rent,House,Other,English
-10.000),M,Single,14-17,,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,
[75.000-,M,Single,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,House,White,English
[20.000-25.000),F,Widowed,35-44,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,Two,,Rent,House,White,English
[10.000-15.000),F,Single,35-44,Grad Study,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,White,English
[10.000-15.000),M,Single,18-24,College graduate,Factory Worker/Laborer/Driver,-1 year,Not Married,One,,Rent,Other,White,English
[10.000-15.000),M,Married,55-64,Graduated High Scool,Retired,,Yes,Two,,Rent,Apartment,White,English
-10.000),F,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Four,Two,Rent,Condominium,Black,English
[30.000-40.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,7-10 years,Not Married,One,One,Rent,Apartment,White,English
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Own,House,Asian,Other
[50.000-75.000),M,Divorced,25-34,College graduate,Sales Worker,,Not Married,Two,,Rent,House,White,English
[25.000-30.000),F,Married,25-34,1 to 3 years of college,Sales Worker,-1 year,Yes,Three,One,Rent,Apartment,White,English
[30.000-40.000),F,Single,14-17,Grades 9 to 11,Sales Worker,10+ years,Not Married,Six,Two,Family,House,White,English
[30.000-40.000),M,Married,25-34,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[25.000-30.000),M,Single,25-34,College graduate,Factory Worker/Laborer/Driver,1-3 years,Not Married,One,,Own,House,Hispanic,Other
[10.000-15.000),M,Single,25-34,1 to 3 years of college,Clerical/Service Worker,4-6 years,Not Married,Two,,Rent,Apartment,White,English
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,,,Family,House,White,
[75.000-,M,Divorced,25-34,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Own,House,American Indian,English
[10.000-15.000),M,Single,18-24,Graduated High Scool,Unemployed,1-3 years,Not Married,Four,,Family,House,Asian,English
[40.000-50.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",7-10 years,Not Married,,,,,White,English
[25.000-30.000),F,Married,25-34,1 to 3 years of college,Professional/Managerial,7-10 years,No,Three,One,Rent,Apartment,White,Other
[25.000-30.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,House,White,English
[20.000-25.000),F,Widowed,65+,College graduate,Retired,10+ years,Not Married,One,,Own,House,White,English
[40.000-50.000),M,Single,25-34,College graduate,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,White,English
[10.000-15.000),M,Single,25-34,College graduate,"Student, HS or College",4-6 years,Not Married,Three,,Rent,Other,Asian,Other
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,,,,,Black,English
[20.000-25.000),F,Married,18-24,Graduated High Scool,"Student, HS or College",10+ years,Yes,Four,Two,Rent,Apartment,White,
[40.000-50.000),M,Divorced,35-44,College graduate,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,Hispanic,Spanish
[40.000-50.000),M,Married,45-54,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,No,Three,One,Own,House,White,English
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Five,One,Family,Apartment,White,English
[20.000-25.000),F,Married,35-44,Graduated High Scool,Homemaker,10+ years,No,Four,Two,Own,House,White,English
[20.000-25.000),M,Single,18-24,Graduated High Scool,Sales Worker,,Not Married,Three,,Rent,Apartment,Other,English
[40.000-50.000),M,Single,25-34,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Rent,Apartment,White,English
-10.000),F,Widowed,65+,1 to 3 years of college,Retired,,Not Married,One,,Own,House,White,English
-10.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Five,Two,Family,House,Black,English
[30.000-40.000),M,,45-54,Graduated High Scool,Homemaker,10+ years,Yes,Three,Five,,,Black,English
[50.000-75.000),M,Married,35-44,College graduate,Professional/Managerial,7-10 years,No,Two,,Own,House,Asian,English
[75.000-,F,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[40.000-50.000),F,Married,65+,1 to 3 years of college,Retired,10+ years,No,Three,,Own,House,White,English
[25.000-30.000),F,Married,55-64,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,
-10.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,,,Family,House,Hispanic,Spanish
[10.000-15.000),F,Together,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,Two,,Family,House,White,English
[30.000-40.000),F,Married,25-34,1 to 3 years of college,Homemaker,10+ years,No,Four,Two,Own,House,Black,
[40.000-50.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,One,Family,Condominium,White,English
[50.000-75.000),M,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Three,One,Own,House,White,English
[40.000-50.000),F,Divorced,35-44,College graduate,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,White,English
[75.000-,M,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Three,,Family,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,White,English
[50.000-75.000),F,Married,35-44,College graduate,Sales Worker,7-10 years,Yes,Two,,Own,House,White,English
[30.000-40.000),M,Married,25-34,College graduate,Professional/Managerial,1-3 years,Yes,Two,,Rent,Apartment,White,English
[25.000-30.000),F,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,Three,,Rent,House,Other,English
[50.000-75.000),F,Single,45-54,Grad Study,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
[30.000-40.000),M,Single,35-44,College graduate,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,White,English
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",1-3 years,Not Married,Five,Three,Family,House,Hispanic,English
[15.000-20.000),M,Together,35-44,College graduate,Unemployed,1-3 years,Yes,One,,Rent,Apartment,Black,
[30.000-40.000),F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,Two,Own,House,White,English
[15.000-20.000),M,Single,14-17,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,Two,Family,House,White,English
[40.000-50.000),F,Single,25-34,College graduate,Clerical/Service Worker,10+ years,Not Married,Three,,Own,Condominium,American Indian,English
[20.000-25.000),F,Single,25-34,Graduated High Scool,Clerical/Service Worker,4-6 years,Not Married,One,,Rent,Apartment,Black,English
[10.000-15.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",4-6 years,Not Married,Two,,Rent,Apartment,White,English
[10.000-15.000),M,Married,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,,Yes,Three,One,Rent,Apartment,White,English
-10.000),F,Divorced,45-54,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,One,,Own,House,White,English
[40.000-50.000),F,Together,25-34,College graduate,Professional/Managerial,1-3 years,Not Married,Two,,Rent,,White,English
-10.000),F,Single,25-34,1 to 3 years of college,Unemployed,10+ years,Not Married,,,Rent,,White,English
[30.000-40.000),F,Together,25-34,Graduated High Scool,Professional/Managerial,4-6 years,Not Married,Two,,Own,Condominium,White,English
[25.000-30.000),M,Married,55-64,Graduated High Scool,Retired,7-10 years,No,Two,,Own,House,White,English
[30.000-40.000),F,Widowed,65+,Graduated High Scool,Retired,10+ years,Not Married,One,,Rent,Apartment,Hispanic,English
[50.000-75.000),F,Married,55-64,College graduate,Clerical/Service Worker,10+ years,Yes,Three,,Own,House,White,English
[50.000-75.000),M,Single,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Rent,Apartment,White,English
[25.000-30.000),F,Married,25-34,Grades 9 to 11,Homemaker,7-10 years,No,Three,One,Own,House,Hispanic,Spanish
[10.000-15.000),M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Nine or more,Six,Family,House,Hispanic,English
[20.000-25.000),F,Together,18-24,College graduate,Professional/Managerial,,Not Married,Two,,Rent,House,White,English
[15.000-20.000),M,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Five,Two,Family,Condominium,Black,Spanish
-10.000),M,Single,25-34,Graduated High Scool,Sales Worker,1-3 years,Not Married,One,,Rent,Apartment,Hispanic,Spanish
-10.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Five,Two,Family,House,Asian,Other
[50.000-75.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Four,Two,Own,House,White,English
[50.000-75.000),F,Married,25-34,College graduate,Sales Worker,10+ years,No,Three,One,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Three,One,Family,House,Asian,Other
-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Hispanic,English
[15.000-20.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,4-6 years,Not Married,Three,One,Rent,House,White,English
[30.000-40.000),F,Divorced,25-34,1 to 3 years of college,Professional/Managerial,,Not Married,Two,One,Rent,House,White,English
[15.000-20.000),F,Divorced,65+,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Rent,House,White,English
[10.000-15.000),M,Married,18-24,1 to 3 years of college,Sales Worker,,No,Two,,Rent,House,Hispanic,Spanish
[30.000-40.000),M,Married,25-34,Graduated High Scool,Professional/Managerial,,Yes,Two,,Own,House,White,English
[50.000-75.000),M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
[50.000-75.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,,Family,House,Asian,English
[50.000-75.000),F,Married,35-44,College graduate,Professional/Managerial,1-3 years,Yes,Two,,Own,House,White,English
[25.000-30.000),F,Single,25-34,College graduate,Professional/Managerial,1-3 years,Not Married,Three,,Rent,Apartment,White,English
-10.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Five,Two,Family,House,Hispanic,Spanish
[30.000-40.000),F,Married,55-64,Grad Study,Military,10+ years,Yes,Two,,Own,Mobile Home,Asian,English
[50.000-75.000),F,Married,35-44,Graduated High Scool,Professional/Managerial,,Yes,Three,One,Rent,,White,English
[30.000-40.000),F,Single,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Three,,Family,House,White,English
[25.000-30.000),M,Single,25-34,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Two,,Rent,House,Hispanic,English
[50.000-75.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,4-6 years,Not Married,One,,Own,House,White,English
[20.000-25.000),M,Married,65+,Grad Study,Retired,10+ years,No,Two,,Own,House,White,English
[50.000-75.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,One,Rent,House,White,English
-10.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Three,,Rent,Apartment,Black,English
[50.000-75.000),M,Divorced,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
[50.000-75.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,4-6 years,Not Married,Three,,Own,House,White,English
-10.000),M,,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Four,Two,Family,House,Asian,English
-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,4-6 years,Not Married,Three,,Rent,Apartment,White,English
[75.000-,M,Single,18-24,Graduated High Scool,Factory Worker/Laborer/Driver,,Not Married,Four,,Own,House,White,English
[30.000-40.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,White,English
[25.000-30.000),M,Single,35-44,College graduate,Clerical/Service Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
[50.000-75.000),F,Married,45-54,Grad Study,Professional/Managerial,1-3 years,Yes,Four,,Own,House,White,English
-10.000),F,Divorced,35-44,College graduate,Unemployed,1-3 years,Not Married,Three,One,Rent,Condominium,White,English
[25.000-30.000),F,Single,25-34,Graduated High Scool,Sales Worker,,Not Married,Three,,Rent,Condominium,Hispanic,English
[50.000-75.000),F,Single,18-24,1 to 3 years of college,Sales Worker,7-10 years,Not Married,Four,,Family,House,White,English
[50.000-75.000),F,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Rent,Other,Asian,English
[10.000-15.000),F,Married,65+,Graduated High Scool,Homemaker,10+ years,No,Two,,Own,House,White,English
[25.000-30.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,House,White,English
[75.000-,M,Married,35-44,College graduate,Factory Worker/Laborer/Driver,10+ years,Yes,Two,,Own,House,White,
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[75.000-,F,Together,35-44,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
[10.000-15.000),F,Single,25-34,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,One,,Rent,Other,White,English
[30.000-40.000),F,Married,35-44,Graduated High Scool,Professional/Managerial,10+ years,No,Three,,Own,House,White,English
[40.000-50.000),M,Together,18-24,College graduate,Clerical/Service Worker,10+ years,Not Married,Five,One,Own,House,White,English
[40.000-50.000),F,Widowed,65+,College graduate,Retired,10+ years,Not Married,One,,Own,Condominium,White,English
[10.000-15.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Six,Two,Family,House,Black,English
[30.000-40.000),M,Married,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Yes,Four,,Rent,House,Hispanic,English
[30.000-40.000),M,Divorced,55-64,College graduate,Retired,10+ years,Not Married,One,,Rent,House,White,English
[50.000-75.000),M,Married,45-54,College graduate,Professional/Managerial,,Yes,Four,Two,Own,House,Asian,English
[20.000-25.000),F,Divorced,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,Six,Three,Rent,House,White,English
[10.000-15.000),F,Single,18-24,1 to 3 years of college,,4-6 years,Not Married,One,,Rent,House,Hispanic,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Five,Two,Family,House,East Indian,English
[40.000-50.000),F,Married,45-54,1 to 3 years of college,Military,1-3 years,Yes,Three,,Own,House,White,English
[75.000-,F,Single,14-17,Grades 9 to 11,Sales Worker,10+ years,Not Married,Five,Three,Family,House,Asian,English
[20.000-25.000),M,Single,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,Apartment,White,English
[75.000-,F,Married,45-54,Graduated High Scool,Retired,10+ years,No,Two,,Own,House,White,English
[75.000-,F,Divorced,35-44,Grad Study,Professional/Managerial,10+ years,Not Married,Four,One,Own,House,Black,English
[25.000-30.000),F,Divorced,25-34,Graduated High Scool,Homemaker,4-6 years,Not Married,Four,Two,Own,House,White,English
[10.000-15.000),F,Married,18-24,Grades 9 to 11,Homemaker,10+ years,No,Five,One,Family,Apartment,White,Spanish
[75.000-,M,Married,45-54,Grad Study,Professional/Managerial,7-10 years,Yes,Two,,Own,House,White,English
[50.000-75.000),M,Single,25-34,Grad Study,Professional/Managerial,1-3 years,Not Married,One,,Rent,Apartment,White,English
[40.000-50.000),M,Single,45-54,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Rent,Apartment,White,English
[25.000-30.000),F,Widowed,65+,Graduated High Scool,Retired,10+ years,Not Married,,,,,White,English
[50.000-75.000),F,Married,35-44,1 to 3 years of college,Sales Worker,-1 year,Yes,Two,,Rent,Apartment,White,English
[25.000-30.000),M,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Four,,Rent,House,Black,
[40.000-50.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,Two,Own,House,White,English
[20.000-25.000),M,Single,18-24,1 to 3 years of college,Professional/Managerial,,Not Married,Seven,,Rent,Condominium,White,English
[50.000-75.000),M,Married,35-44,Graduated High Scool,Professional/Managerial,10+ years,Yes,Four,One,Own,House,Black,English
-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,,Family,House,White,English
[50.000-75.000),M,Married,65+,College graduate,Retired,10+ years,No,Two,,Own,House,White,English
-10.000),M,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Four,,Rent,Apartment,White,English
[25.000-30.000),F,Together,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,,Hispanic,English
[40.000-50.000),M,Divorced,25-34,College graduate,Unemployed,1-3 years,Not Married,Three,,Rent,House,White,English
[20.000-25.000),F,Single,18-24,College graduate,Military,1-3 years,Not Married,Two,,Rent,Apartment,White,English
[75.000-,F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Three,One,Own,House,White,English
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,One,Own,House,Hispanic,English
[15.000-20.000),F,Together,18-24,College graduate,Clerical/Service Worker,-1 year,Not Married,Three,,Rent,Apartment,Other,English
[15.000-20.000),M,Single,18-24,Graduated High Scool,Sales Worker,,Not Married,Five,One,Family,House,Asian,English
[50.000-75.000),M,Together,35-44,Grad Study,Professional/Managerial,-1 year,Yes,Two,,Rent,Apartment,White,English
[15.000-20.000),F,Together,18-24,Graduated High Scool,"Student, HS or College",,Not Married,Four,,Family,House,Hispanic,English
-10.000),M,Single,14-17,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Two,One,Family,Apartment,Asian,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Three,Family,House,Black,English
[50.000-75.000),M,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[50.000-75.000),F,Married,45-54,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Seven,,Own,House,Pacific Islander,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,Hispanic,English
-10.000),F,Single,14-17,Grade 8 or less,Unemployed,10+ years,Not Married,Five,Three,Family,House,American Indian,English
[15.000-20.000),F,Married,18-24,Grad Study,Homemaker,-1 year,No,Nine or more,Three,Rent,House,Hispanic,Spanish
[30.000-40.000),F,Divorced,35-44,Grades 9 to 11,Homemaker,10+ years,Not Married,Four,One,Rent,Apartment,Hispanic,English
[50.000-75.000),M,Single,35-44,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,White,English
[15.000-20.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",,Not Married,Three,,Family,House,Hispanic,English
[30.000-40.000),M,Single,25-34,College graduate,Sales Worker,1-3 years,Not Married,One,,Rent,Apartment,Black,English
[30.000-40.000),M,Married,25-34,Graduated High Scool,Professional/Managerial,,Yes,Three,One,Own,House,White,English
[75.000-,F,Married,45-54,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Yes,Three,One,Own,House,White,English
[75.000-,F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,Condominium,White,English
[20.000-25.000),F,Married,45-54,College graduate,Professional/Managerial,10+ years,No,Two,,Rent,Apartment,Black,
[20.000-25.000),M,Married,18-24,1 to 3 years of college,"Student, HS or College",10+ years,No,Four,,Rent,Apartment,Hispanic,English
-10.000),F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Six,,Family,House,White,English
[50.000-75.000),F,Married,35-44,1 to 3 years of college,Homemaker,7-10 years,No,Five,Three,Own,House,White,English
-10.000),M,Single,45-54,Grad Study,Unemployed,10+ years,Not Married,One,,Own,Condominium,White,English
[40.000-50.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,No,Four,One,Own,House,White,English
[30.000-40.000),F,Married,35-44,Graduated High Scool,Homemaker,10+ years,No,Two,,Own,House,White,English
[50.000-75.000),F,Married,25-34,College graduate,Sales Worker,10+ years,Yes,Two,,Own,House,White,English
[40.000-50.000),F,Married,35-44,Grad Study,Professional/Managerial,7-10 years,Yes,Two,,Own,House,White,English
[25.000-30.000),F,Together,25-34,1 to 3 years of college,Clerical/Service Worker,1-3 years,No,Two,,Rent,Other,Asian,English
[30.000-40.000),F,Married,55-64,Graduated High Scool,Homemaker,10+ years,No,Seven,Two,Own,House,White,English
[25.000-30.000),M,Married,35-44,Graduated High Scool,Clerical/Service Worker,1-3 years,No,Two,,Rent,Apartment,White,English
[25.000-30.000),F,Together,25-34,Grades 9 to 11,Factory Worker/Laborer/Driver,,Yes,Seven,Five,Rent,Apartment,Hispanic,English
[75.000-,F,Widowed,55-64,College graduate,Professional/Managerial,10+ years,Not Married,One,,Own,Condominium,White,English
[10.000-15.000),M,Single,55-64,Graduated High Scool,Clerical/Service Worker,7-10 years,Not Married,Three,,Rent,House,White,English
[15.000-20.000),F,Married,18-24,1 to 3 years of college,Homemaker,10+ years,No,Two,,Rent,Apartment,White,English
[50.000-75.000),F,Married,25-34,Grad Study,Professional/Managerial,7-10 years,Yes,Two,,Own,House,White,English
[40.000-50.000),M,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,Hispanic,English
[40.000-50.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,10+ years,No,Three,One,Rent,Other,White,English
[50.000-75.000),M,Together,25-34,College graduate,Professional/Managerial,4-6 years,Yes,Two,,Rent,Apartment,White,English
[10.000-15.000),F,Married,18-24,1 to 3 years of college,Sales Worker,1-3 years,Yes,Three,One,Rent,Apartment,White,English
[75.000-,F,Married,55-64,1 to 3 years of college,Unemployed,7-10 years,No,Three,,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Four,Two,Family,Apartment,Asian,Other
[50.000-75.000),M,Married,35-44,Graduated High Scool,Sales Worker,10+ years,No,Two,,Own,House,White,English
-10.000),M,Married,35-44,Graduated High Scool,"Student, HS or College",10+ years,No,Three,One,Rent,Apartment,Hispanic,Spanish
[25.000-30.000),F,Single,45-54,College graduate,,10+ years,Not Married,One,,Rent,Apartment,White,English
[40.000-50.000),M,Widowed,65+,Grad Study,Retired,10+ years,Not Married,One,,Own,Condominium,White,English
[20.000-25.000),F,Married,55-64,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Two,,Rent,House,White,English
[40.000-50.000),F,Married,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,One,Own,House,Hispanic,English
-10.000),M,Married,35-44,1 to 3 years of college,Retired,7-10 years,No,Four,,,Other,White,English
[20.000-25.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,7-10 years,Not Married,Two,,Rent,Apartment,White,English
[50.000-75.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,No,Three,One,Own,House,White,English
[30.000-40.000),M,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Three,,,House,White,English
-10.000),F,Single,14-17,,"Student, HS or College",10+ years,Not Married,Six,Four,Family,House,Hispanic,
[40.000-50.000),M,Divorced,25-34,College graduate,Sales Worker,10+ years,Not Married,One,,Rent,Other,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
[10.000-15.000),F,Single,18-24,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Three,,Family,House,Black,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,Other,White,Other
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Two,,Family,House,White,English
-10.000),F,Together,14-17,Grades 9 to 11,Sales Worker,-1 year,Not Married,Two,Two,Rent,Apartment,White,English
